admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,total_idps,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries,old_conflict_score
MMR013033,2,9,11,45,8,0,11,0.11059559198331259,0.013071895424836598,0.11688311688311687,0.16666666666666669,0.020370370370370372,0.48387096774193555,0.3142857142857143,0.013071895424836602,0.11688311688311688,0.16666666666666666,0.020370370370370372,0.07924801233624762,Yangon,Kyauktada,NA,NA,0.16345983405390235
MMR013034,0,1,0,1,1,0,1,0.0035293887731645325,0,0.012987012987012991,0.020833333333333336,0.0018518518518518506,0.010752688172043019,0,0,0.012987012987012988,0.020833333333333332,0.001851851851851852,0.008918049543049544,Yangon,Pabedan,NA,NA,0.005660862301545243
MMR013035,0,8,2,2,2,0,2,0.022314448048336363,0,0.10389610389610389,0.04166666666666667,0.0037037037037037095,0.021505376344086023,0.05714285714285715,0,0.1038961038961039,0.041666666666666664,0.003703703703703704,0.03731661856661857,Yangon,Lanmadaw,NA,NA,0.033361169125157845
MMR013036,0,4,0,0,2,0,2,0.007554479672998735,0,0.051948051948051945,0.04166666666666667,0.0037037037037037095,0,0,0,0.05194805194805195,0.041666666666666664,0.003703703703703704,0.024329605579605583,Yangon,Latha,NA,NA,0.012142754760930095
MMR013037,1,5,3,1,1,0,4,0.023108181329662615,0.006535947712418299,0.06493506493506494,0.020833333333333336,0.00740740740740741,0.010752688172043019,0.08571428571428572,0.006535947712418301,0.06493506493506493,0.020833333333333332,0.007407407407407408,0.024927938347055992,Yangon,Ahlone,NA,NA,0.033284906443480256
MMR013038,1,12,5,4,4,0,9,0.0474306965219871,0.006535947712418299,0.1558441558441558,0.08333333333333334,0.016666666666666673,0.043010752688172046,0.14285714285714285,0.006535947712418301,0.15584415584415584,0.08333333333333333,0.016666666666666666,0.06559502588914354,Yangon,Kyeemyindaing,NA,NA,0.069829290706326555
MMR013039,3,18,19,20,7,0,11,0.13739325612619202,0.019607843137254898,0.23376623376623376,0.14583333333333334,0.020370370370370372,0.21505376344086025,0.5428571428571429,0.0196078431372549,0.23376623376623376,0.14583333333333334,0.020370370370370372,0.1048944451517981,Yangon,Sanchaung,NA,NA,0.19656340184603954
MMR013040,3,24,13,16,15,0,23,0.1277610758602224,0.019607843137254898,0.3116883116883116,0.3125,0.0425925925925926,0.17204301075268819,0.37142857142857144,0.0196078431372549,0.3116883116883117,0.3125,0.04259259259259259,0.1715971868545398,Yangon,Hlaing,NA,NA,0.18856873546268987
MMR013041,1,12,9,15,5,0,5,0.07482806818568806,0.006535947712418299,0.1558441558441558,0.10416666666666666,0.009259259259259262,0.16129032258064516,0.2571428571428571,0.006535947712418301,0.15584415584415584,0.10416666666666667,0.009259259259259259,0.06895150737062501,Yangon,Kamaryut,NA,NA,0.10879212702128396
MMR013042,2,22,5,11,9,0,9,0.07134658735786825,0.013071895424836598,0.2857142857142857,0.1875,0.016666666666666673,0.11827956989247312,0.14285714285714285,0.013071895424836602,0.2857142857142857,0.1875,0.016666666666666666,0.12573821195144724,Yangon,Mayangone,NA,NA,0.10822097914605744
